prefix,Code,Description
Education2003Revision,1,8th grade or less
Education2003Revision,2,"9 - 12th grade, no diploma"
Education2003Revision,3,high school graduate or GED completed
Education2003Revision,4,"some college credit, but no degree"
Education2003Revision,5,Associate degree
Education2003Revision,6,Bachelor's degree
Education2003Revision,7,Master's degree
Education2003Revision,8,Doctorate or professional degree
Education2003Revision,9,Unknown
