prefix,Code,Description
HispanicOriginRaceRecode,1,Mexican
HispanicOriginRaceRecode,2,Puerto Rican
HispanicOriginRaceRecode,3,Cuban
HispanicOriginRaceRecode,4,Central or South American
HispanicOriginRaceRecode,5,Other or unknown Hispanic
HispanicOriginRaceRecode,6,Non-Hispanic white
HispanicOriginRaceRecode,7,Non-Hispanic black
HispanicOriginRaceRecode,8,Non-Hispanic other races
HispanicOriginRaceRecode,9,Hispanic origin unknown
